run_id,run_dir,status,score,notes,final_loss_d,final_loss_g,final_score_real,final_score_fake_d,final_score_fake_g,mean_loss_d_last,mean_loss_g_last,std_loss_d_last,std_loss_g_last,max_grad_norm_d,max_grad_norm_g,mean_fake_g_near_zero_last,mean_fake_g_near_one_last,disc_lr,gen_lr,disc_steps_per_gen,grad_clip_norm,training_steps,batch_size,disc_warmup_steps,latent_distribution,label_real,label_fake
run_003,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201341_run_003,ok,-0.49115035379484445,ok,0.6432889699935913,0.7843436598777771,0.5146510004997253,0.4525192975997925,0.4585937857627868,0.6953739485144615,0.8239383652806282,0.11230096360093891,0.4712657609488936,1.609457015991211,9.8421630859375,0.21354166680015624,0.129270832343027,0.002,0.002,1,1.0,500,16,0,uniform,1.0,0.0
run_017,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201840_run_017,ok,-0.7523050975991072,ok,0.514124870300293,0.9937069416046144,0.6429892778396606,0.3609489202499389,0.4176446199417114,0.5917989996927125,0.9473882436752319,0.1562111262091372,0.17647977635179726,1.3324432373046875,4.33837890625,0.0711309527845255,0.0031250000133046063,0.0005,0.0005,1,1.0,700,16,0,uniform,1.0,0.0
run_020,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201948_run_020,ok,-0.9586180456449948,ok,0.4937256872653961,0.9740325212478638,0.6878482103347778,0.378914475440979,0.4225750267505646,0.5751469409891538,1.070824087517602,0.13503217267930392,0.2964024181029224,2.193969488143921,6.699680805206299,0.05967261897666114,0.059151785587891935,0.0005,0.0005,1,1.0,700,16,0,uniform,1.0,0.0
run_008,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201529_run_008,ok,-1.1511674191139443,ok,0.3417240083217621,1.3612844944000244,0.8310185670852661,0.255890429019928,0.3744247257709503,0.6464584362506867,1.1367391574382781,0.23316126150759875,0.18297252167039355,2.296086072921753,7.078704357147217,0.15812500045634806,0.09020833327434957,0.001,0.001,1,0.5,500,16,0,uniform,1.0,0.0
run_006,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201446_run_006,ok,-1.6655469789008426,possible-gradient-explosion,0.7238420248031616,0.8711495995521545,0.558200940489769,0.4221513420343399,0.521175742149353,0.6047133311629296,0.9893123346567154,0.06325336149024181,0.2912325577667884,9.321499347686768,28.64505958557129,0.02479166670702397,0.005416666762903327,0.002,0.002,2,1.0,500,16,0,uniform,1.0,0.0
run_012,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201654_run_012,ok,-1.7116332030208188,possible-gradient-explosion,0.6759492456912994,0.703563392162323,0.5029128938913345,0.3904352486133575,0.5970631241798401,0.6373609176278114,1.005380583703518,0.07216682790083856,0.379941043256346,6.096616268157959,32.19430160522461,0.04229166666045785,0.025833333265036337,0.002,0.002,2,0.5,500,16,0,uniform,1.0,0.0
run_010,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201608_run_010,ok,-2.0668840377260436,"possible-gradient-explosion,balanced-discriminator",0.7617954015731812,0.6641293168067932,0.5157482326030731,0.5089040547609329,0.5841972827911377,0.6994783560186625,1.2410348045825959,0.41341835446706704,0.49745237123998387,7.75532078742981,33.60116195678711,0.0029166666604578473,0.0020833333767950515,0.0005,0.0005,2,0.5,500,16,0,uniform,1.0,0.0
run_004,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201400_run_004,ok,-2.4353947087695955,possible-gradient-explosion,0.3363577425479889,1.7895894050598145,0.7188229560852051,0.2044818103313446,0.2182078510522842,0.5343574765324592,1.2984698224067688,0.14398198395363146,0.253071418623363,4.958221673965454,20.19636344909668,0.05937499994412065,0.007083333395421501,0.0005,0.0005,2,1.0,500,16,0,uniform,1.0,0.0
run_005,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201421_run_005,ok,-2.8391477974294244,possible-gradient-explosion,0.4857299327850342,1.2879953384399414,0.6118496358394623,0.2456750571727752,0.3230239748954773,0.5208724988251925,1.626894372701645,0.32876393690025824,0.4832626799887053,9.308656454086304,33.8519401550293,0.0043750000745058,0.028854166576638817,0.001,0.001,2,1.0,500,16,0,uniform,1.0,0.0
run_011,logs\hparam_search_cgan_20260323_201244\runs\cgan_comparable_20260323_201630_run_011,ok,-3.0807580318580507,possible-gradient-explosion,0.2956971377134323,2.301591157913208,0.7375363111495972,0.1580829247832298,0.1755854040384292,0.46304427303373813,1.686381441950798,0.17424891021808545,0.46982639798172526,5.574878931045532,22.02461051940918,0.09510416691191495,0.013854166837409133,0.001,0.001,2,0.5,500,16,0,uniform,1.0,0.0
