k1,k2,distance_km
Perm|Russland,Saragossa|Spanien,5446.6094
Chisinau|Moldau,Prag|Tschechin,1453.0183
Marseille|Frankreich,Prag|Tschechin,1392.0138
Bukarest|Rumänien,Marseille|Frankreich,2270.1025
Bukarest|Rumänien,Chisinau|Moldau,468.10990000000004
Chisinau|Moldau,Marseille|Frankreich,2537.4422000000004
Krasnodar|Russland,Lipezk|Russland,988.4947
Krasnodar|Russland,Posen|Polen,2389.9192000000003
Pensa|Russland,Posen|Polen,2197.1386
Lipezk|Russland,Posen|Polen,1830.9111
Krasnodar|Russland,Pensa|Russland,1213.1335
Mailand|Italien,Valencia|Spanien,1319.5217
Bukarest|Rumänien,Valencia|Spanien,3075.0906
Minsk|Belarus,Valencia|Spanien,3284.8752000000004
Frankfurt am Main|Deutschland,Malaga|Spanien,2288.8127999999997
Malaga|Spanien,Nürnberg|Deutschland,2396.9568
Bukarest|Rumänien,Nürnberg|Deutschland,1563.2372
Bukarest|Rumänien,Frankfurt am Main|Deutschland,1782.1015
Frankfurt am Main|Deutschland,Nürnberg|Deutschland,226.53529999999998
Bukarest|Rumänien,Malaga|Spanien,3685.992
Machatschkala|Russland,Saragossa|Spanien,5259.7971
Istanbul|Türkei,Moskau|Russland,3448.0041
Istanbul|Türkei,Sankt Petersburg|Russland,3355.2921
Berlin|Deutschland,Istanbul|Türkei,2185.6308
Istanbul|Türkei,Madrid|Spanien,3518.1902
Istanbul|Türkei,Kiew|Ukraine,1594.1931000000002
Istanbul|Türkei,Rom|Italien,2225.85
Istanbul|Türkei,Paris|Frankreich,2749.4653
Istanbul|Türkei,Wien|Österreich,1556.5766
Istanbul|Türkei,Minsk|Belarus,2730.439
Istanbul|Türkei,Warschau|Polen,2194.6632
Hamburg|Deutschland,Istanbul|Türkei,2475.4323999999997
Bukarest|Rumänien,Istanbul|Türkei,629.7425
Barcelona|Spanien,Istanbul|Türkei,2933.049
Budapest|Ungarn,Istanbul|Türkei,1320.3141
Istanbul|Türkei,München|Deutschland,1882.8762
Charkiw|Ukraine,Istanbul|Türkei,1806.8583999999998
Istanbul|Türkei,Prag|Tschechin,1841.3168
Istanbul|Türkei,Mailand|Italien,1962.0813
Istanbul|Türkei,Sofia|Bulgarien,548.4668
Istanbul|Türkei,Kasan|Russland,3338.7783
Istanbul|Türkei,Nischni Nowgorod|Russland,3927.6087
Belgrad|Serbien,Istanbul|Türkei,944.7783000000001
Istanbul|Türkei,Samara|Russland,3247.6565
Istanbul|Türkei,Rostow am Don|Russland,2029.5584
Istanbul|Türkei,Ufa|Russland,3640.6983999999998
Istanbul|Türkei,Woronesch|Russland,2305.8294
Istanbul|Türkei,Perm|Russland,4025.991
Istanbul|Türkei,Köln|Deutschland,2410.4521
Istanbul|Türkei,Odessa|Ukraine,1136.5689
Istanbul|Türkei,Wolgograd|Russland,2447.3691
Dnipro|Ukraine,Istanbul|Türkei,1586.2143999999998
Istanbul|Türkei,Krasnodar|Russland,2377.9593
Amsterdam|Niederlande,Istanbul|Türkei,2662.5951
Istanbul|Türkei,Neapel|Italien,2424.8102000000003
Donezk|Ukraine,Istanbul|Türkei,1853.2865
Istanbul|Türkei,Marseille|Frankreich,2467.9255
Istanbul|Türkei,Turin|Italien,2098.3233
Istanbul|Türkei,Saratow|Russland,2829.2372
Istanbul|Türkei,Valencia|Spanien,3272.5942
Istanbul|Türkei,Zagreb|Kroatien,1338.3289
Frankfurt am Main|Deutschland,Istanbul|Türkei,2230.4745
Istanbul|Türkei,Lwiw (Lemberg)|Ukraine,1881.006
Istanbul|Türkei,Sevilla|Spanien,3917.6337000000003
Istanbul|Türkei,Saragossa|Spanien,3208.9924
Breslau|Polen,Istanbul|Türkei,2033.9479
Ischewsk|Russland,Istanbul|Türkei,3733.1286
Istanbul|Türkei,Lodz|Polen,2075.5267
Athen|Griechenland,Istanbul|Türkei,1089.8228000000001
Istanbul|Türkei,Palermo|Italien,1849.9557
Istanbul|Türkei,Uljanowsk|Russland,3196.0216
Istanbul|Türkei,Stuttgart|Deutschland,2114.8217999999997
Istanbul|Türkei,Leipzig|Deutschland,2090.65
Istanbul|Türkei,Vilnius|Litauen,2695.0823
Istanbul|Türkei,Machatschkala|Russland,2949.8489
