noise0,noise1,q0_bloch_x,q0_bloch_y,q0_bloch_z,q1_bloch_x,q1_bloch_y,q1_bloch_z,exp_XX_q0,exp_XX_q1,exp_XY_q0,exp_XY_q1,exp_XZ_q0,exp_XZ_q1,exp_YX_q0,exp_YX_q1,exp_YY_q0,exp_YY_q1,exp_YZ_q0,exp_YZ_q1,exp_ZX_q0,exp_ZX_q1,exp_ZY_q0,exp_ZY_q1,exp_ZZ_q0,exp_ZZ_q1
0.4487989505128276,2.243994752564138,0.33438280970381573,0.05734569289826375,0.9258665369798481,0.8978797225284916,0.18272471043510213,-0.36435274156649833,0.33438280970381573,0.8978797225284914,0.33438280970381573,0.18272471043510197,0.33438280970381573,-0.36435274156649844,0.05734569289826391,0.8978797225284914,0.05734569289826391,0.18272471043510197,0.05734569289826391,-0.36435274156649844,0.9258665369798482,0.8978797225284914,0.9258665369798482,0.18272471043510197,0.9258665369798482,-0.36435274156649844
0.4487989505128276,2.6927937030769655,0.237349711470848,0.04070479482947967,0.925866536979848,0.6373278975268766,0.15232013968837885,-0.6970167402837215,0.237349711470848,0.6373278975268766,0.237349711470848,0.15232013968837887,0.237349711470848,-0.6970167402837215,0.04070479482947964,0.6373278975268766,0.04070479482947964,0.15232013968837887,0.04070479482947964,-0.6970167402837215,0.925866536979848,0.6373278975268766,0.925866536979848,0.15232013968837887,0.925866536979848,-0.6970167402837215
0.4487989505128276,3.141592653589793,0.09330659197789587,0.01600181293316933,0.9258665369798483,0.2505454661063467,0.09174669719245203,-0.89162802523842,0.09330659197789593,0.2505454661063468,0.09330659197789593,0.09174669719245221,0.09330659197789593,-0.89162802523842,0.016001812933169324,0.2505454661063468,0.016001812933169324,0.09174669719245221,0.016001812933169324,-0.89162802523842,0.9258665369798483,0.2505454661063468,0.9258665369798483,0.09174669719245221,0.9258665369798483,-0.89162802523842
0.4487989505128276,3.5903916041026207,-0.06921704238653245,-0.011870524263911952,0.9258665369798479,-0.18586056761503855,0.013001696118160213,-0.9096414446945355,-0.06921704238653248,-0.18586056761503872,-0.06921704238653248,0.013001696118160155,-0.06921704238653248,-0.9096414446945356,-0.011870524263911775,-0.18586056761503872,-0.011870524263911775,0.013001696118160155,-0.011870524263911775,-0.9096414446945356,0.9258665369798479,-0.18586056761503872,0.9258665369798479,0.013001696118160155,0.9258665369798479,-0.9096414446945356
0.4487989505128276,4.039190554615448,-0.21803139261499166,-0.03739175854809924,0.9258665369798478,-0.5854546364899912,-0.06831845032767184,-0.7474892200086939,-0.2180313926149916,-0.585454636489991,-0.2180313926149916,-0.06831845032767175,-0.2180313926149916,-0.7474892200086939,-0.03739175854809923,-0.585454636489991,-0.03739175854809923,-0.06831845032767175,-0.03739175854809923,-0.7474892200086939,0.9258665369798478,-0.585454636489991,0.9258665369798478,-0.06831845032767175,0.9258665369798478,-0.7474892200086939
0.4487989505128276,4.487989505128276,-0.3236619515565014,-0.055507096472011165,0.925866536979848,-0.8690922344781808,-0.13610728981530046,-0.43728758794645545,-0.32366195155650146,-0.8690922344781805,-0.32366195155650146,-0.13610728981530051,-0.32366195155650146,-0.43728758794645545,-0.05550709647201113,-0.8690922344781805,-0.05550709647201113,-0.13610728981530051,-0.05550709647201113,-0.43728758794645545,0.925866536979848,-0.8690922344781805,0.925866536979848,-0.13610728981530051,0.925866536979848,-0.43728758794645545
0.4487989505128276,4.9367884556411035,-0.3651872915389056,-0.06262857318977733,0.9258665369798479,-0.9805954567111896,-0.17693841130864363,-0.04047578611110014,-0.3651872915389056,-0.9805954567111894,-0.3651872915389056,-0.17693841130864363,-0.3651872915389056,-0.04047578611110014,-0.06262857318977727,-0.9805954567111894,-0.06262857318977727,-0.17693841130864363,-0.06262857318977727,-0.04047578611110014,0.9258665369798479,-0.9805954567111894,0.9258665369798479,-0.17693841130864363,0.9258665369798479,-0.04047578611110014
0.4487989505128276,5.385587406153931,-0.33438280970381573,-0.057345692898263745,0.9258665369798477,-0.8978797225284914,-0.18272471043510202,0.3643527415664979,-0.3343828097038156,-0.8978797225284914,-0.3343828097038156,-0.18272471043510202,-0.3343828097038156,0.3643527415664979,-0.057345692898263745,-0.8978797225284914,-0.057345692898263745,-0.18272471043510202,-0.057345692898263745,0.3643527415664979,0.9258665369798477,-0.8978797225284914,0.9258665369798477,-0.18272471043510202,0.9258665369798477,0.3643527415664979
0.4487989505128276,5.834386356666759,-0.2373497114708481,-0.04070479482947968,0.9258665369798478,-0.6373278975268767,-0.15232013968837885,0.6970167402837211,-0.2373497114708482,-0.6373278975268768,-0.2373497114708482,-0.1523201396883786,-0.2373497114708482,0.6970167402837211,-0.04070479482947953,-0.6373278975268768,-0.04070479482947953,-0.1523201396883786,-0.04070479482947953,0.6970167402837211,0.9258665369798478,-0.6373278975268768,0.9258665369798478,-0.1523201396883786,0.9258665369798478,0.6970167402837211
0.4487989505128276,6.283185307179586,-0.09330659197789591,-0.016001812933169338,0.9258665369798482,-0.2505454661063468,-0.09174669719245201,0.8916280252384199,-0.09330659197789604,-0.250545466106347,-0.09330659197789604,-0.09174669719245215,-0.09330659197789604,0.8916280252384199,-0.016001812933169213,-0.250545466106347,-0.016001812933169213,-0.09174669719245215,-0.016001812933169213,0.8916280252384199,0.9258665369798482,-0.250545466106347,0.9258665369798482,-0.09174669719245215,0.9258665369798482,0.8916280252384199
